id,Obesity
13305,28.8
13307,
13309,27.8
13311,15.6
13313,24.6
13315,
13317,
13319,
13321,32.9
15001,19.6
15003,17.8
15005,
15007,17.4
15009,17.7
16001,18.5
16003,24.2
16005,23.7
16007,24.7
16009,28.3
16011,25.8
16013,9.7
16015,17.1
16017,19.1
16019,21.1
16021,20.0
16023,24.2
16025,
16027,23.9
16029,22.5
16031,21.5
16033,
16035,22.5
16037,24.6
16039,26.7
16041,17.7
16043,19.8
16045,26.0
16047,26.0
16049,20.1
16051,25.0
16053,22.3
16055,20.9
16057,16.5
16059,22.6
16061,27.0
16063,19.5
16065,19.3
16067,25.9
16069,24.6
16071,23.8
16073,29.4
16075,26.7
16077,28.7
16079,26.0
16081,17.8
16083,21.8
16085,16.9
16087,29.0
17001,26.3
17003,
17005,
17007,
17009,
17011,22.0
17013,
17015,14.3
17017,15.7
17019,19.0
17021,25.6
17023,
17025,
17027,
17029,30.1
17031,22.0
17033,
17035,
17037,23.5
17039,
17041,
17043,17.4
17045,
17047,
17049,19.9
17051,14.8
17053,
17055,22.2
17057,19.4
17059,
17061,
17063,27.5
17065,
17067,
17069,
17071,
17073,20.7
17075,25.0
17077,15.3
17079,
17081,32.7
17083,
17085,
17087,
17089,22.6
17091,28.1
17093,18.6
17095,22.4
17097,20.8
17099,24.1
17101,
17103,18.3
17105,28.2
17107,
17109,26.6
17111,21.3
17113,20.9
17115,23.7
17117,29.7
17119,28.0
17121,28.3
17123,14.9
17125,
17127,13.0
17129,
17131,
17133,19.0
17135,
17137,26.7
17139,
17141,27.2
17143,24.1
17145,
17147,11.5
17149,
17151,
17153,
17155,
17157,18.2
17159,
17161,26.1
17163,29.7
17165,
17167,24.0
17169,
17171,
17173,
17175,
17177,22.0
17179,21.3
17181,
17183,31.8
17185,
17187,
17189,
17191,
17193,
17195,23.4
17197,23.6
17199,24.5
17201,25.8
17203,27.8
18001,37.1
18003,23.8
18005,21.1
18007,
18009,18.4
18011,23.1
18013,25.2
18015,32.6
18017,21.1
18019,22.2
18021,33.3
18023,24.9
18025,
18027,23.1
18029,18.7
18031,34.0
18033,28.1
18035,28.3
18037,19.9
18039,25.2
18041,26.9
18043,21.9
18045,37.1
18047,26.0
18049,23.7
18051,25.5
18053,33.2
18055,28.7
18057,20.0
18059,20.7
18061,28.9
18063,23.4
18065,30.1
18067,25.8
18069,24.0
18071,25.1
18073,27.9
18075,27.3
18077,26.9
18079,23.8
18081,22.5
18083,25.1
18085,24.0
18087,26.8
18089,28.7
18091,25.6
18093,28.7
18095,27.1
18097,24.3
18099,26.0
18101,
18103,27.6
18105,18.7
18107,23.3
18109,26.5
18111,
18113,30.0
18115,
18117,
18119,28.1
18121,27.0
18123,22.5
18125,
18127,24.0
18129,20.6
18131,
18133,21.5
18135,31.9
18137,20.3
18139,29.3
18141,22.8
18143,27.2
18145,31.1
18147,24.9
18149,26.9
18151,25.0
18153,22.5
18155,
18157,20.7
18159,
18161,
18163,27.3
18165,28.1
18167,25.3
18169,22.5
18171,
18173,27.1
18175,23.9
18177,26.6
18179,20.8
18181,25.7
18183,28.0
19001,28.0
19003,
19005,16.7
19007,25.3
19009,19.3
19011,25.7
19013,23.5
19015,23.2
19017,20.2
19019,29.7
19021,25.1
19023,20.7
19025,21.2
19027,20.9
19029,23.3
19031,25.2
19033,24.4
19035,21.3
19037,26.9
19039,24.8
19041,23.4
19043,26.0
19045,26.6
19047,28.7
19049,18.8
19051,
19053,27.7
19055,22.7
19057,24.8
19059,25.0
19061,25.1
19063,31.0
19065,22.8
19067,31.6
19069,20.7
19071,32.5
19073,
19075,22.3
19077,25.5
19079,26.7
19081,21.9
19083,27.5
19085,30.8
19087,31.0
19089,18.1
19091,21.5
19093,
19095,28.7
19097,23.4
19099,28.7
19101,
19103,16.1
19105,19.2
19107,
19109,22.5
19111,23.2
19113,21.5
19115,
19117,
19119,17.6
19121,26.1
19123,20.5
19125,22.7
19127,27.9
19129,22.6
19131,20.6
19133,
19135,
19137,29.1
19139,25.6
19141,25.7
19143,
19145,24.5
19147,
19149,20.3
19151,
19153,22.8
19155,26.8
19157,26.0
19159,
19161,23.8
19163,20.5
19165,26.0
19167,17.6
19169,17.2
19171,25.6
19173,27.3
19175,28.0
19177,
19179,24.8
19181,26.0
19183,25.3
19185,
19187,26.0
19189,25.6
19191,19.5
19193,23.0
19195,23.7
19197,19.3
20001,27.8
20003,25.5
20005,25.4
20007,14.6
20009,27.0
20011,21.2
20013,24.9
20015,25.7
20017,
20019,
20021,25.9
20023,
20025,
20027,29.0
20029,20.7
20031,23.8
20033,
20035,29.2
20037,23.6
20039,
20041,27.0
20043,29.6
20045,17.0
20047,
20049,
20051,17.2
20053,21.7
20055,23.1
20057,24.9
20059,27.2
20061,16.7
20063,
20065,
20067,27.3
20069,
20071,
20073,30.8
20075,
20077,24.9
20079,24.7
20081,
20083,
20085,26.9
20087,25.1
20089,
20091,17.4
20093,
20095,30.9
20097,
20099,27.9
20101,
20103,20.8
20105,13.8
20107,25.4
20109,
20111,24.4
20113,23.4
20115,20.8
20117,28.8
20119,
20121,27.3
20123,16.7
20125,28.0
20127,20.0
20129,
20131,21.9
20133,24.7
20135,
20137,15.3
20139,30.6
20141,17.6
20143,24.6
20145,26.8
20147,
20149,19.5
20151,22.5
20153,
20155,25.2
20157,14.6
20159,24.2
20161,14.7
20163,17.4
20165,
20167,22.4
20169,21.7
20171,24.7
20173,24.5
20175,21.2
20177,26.0
20179,
20181,
20183,
20185,17.3
20187,
20189,11.2
20191,29.7
20193,15.2
20195,
20197,23.8
20199,
20201,22.0
20203,
20205,31.2
20207,
20209,27.4
21001,27.3
21003,32.0
21005,25.9
21007,24.0
21009,25.5
21011,26.8
21013,32.4
21015,25.0
21017,
21019,27.2
21021,21.7
21023,25.1
21025,29.2
21027,21.9
21029,25.6
21031,33.3
21033,17.9
21035,18.1
21037,23.9
21039,
21041,
21043,31.0
21045,24.8
21047,24.4
21049,23.5
21051,30.8
21053,22.5
21055,31.3
21057,26.4
21059,22.6
21061,
21063,34.7
21065,
21067,20.8
21069,28.3
21071,31.3
21073,23.4
21075,
21077,
21079,
21081,26.2
21083,25.1
21085,23.4
21087,31.8
21089,29.5
21091,21.5
21093,24.6
21095,30.0
21097,
21099,18.7
21101,22.3
21103,
21105,
21107,30.5
21109,35.8
21111,25.5
21113,22.6
21115,33.9
21117,23.6
21119,25.5
21121,26.4
21123,28.6
21125,24.7
21127,27.3
21129,31.0
21131,33.4
21133,33.6
21135,26.8
21137,29.5
21139,27.6
21141,26.3
21143,29.7
21145,25.7
21147,34.3
21149,38.7
21151,23.6
21153,33.3
21155,23.1
21157,22.6
21159,
21161,21.1
21163,22.3
21165,25.1
21167,27.9
21169,25.0
21171,25.4
21173,30.1
21175,26.1
21177,32.9
21179,26.0
21181,
21183,26.4
21185,19.2
21187,22.4
21189,25.5
21191,
21193,32.6
21195,28.5
21197,
21199,24.1
21201,21.9
21203,31.9
21205,25.1
21207,27.5
21209,22.2
21211,
21213,19.3
21215,
21217,18.8
21219,29.2
21221,24.0
21223,
21225,31.5
21227,22.6
21229,24.3
21231,28.3
21233,31.6
21235,30.6
21237,23.0
21239,18.5
22001,27.8
22003,32.2
22005,20.3
22007,26.6
22009,24.7
22011,26.2
22013,29.9
22015,21.5
22017,27.0
22019,26.4
22021,
22023,
22025,31.5
22027,31.7
22029,29.7
22031,31.1
22033,22.8
22035,
22037,30.0
22039,24.8
22041,32.3
22043,31.6
22045,27.6
22047,30.0
22049,22.3
22051,24.8
22053,33.1
22055,21.8
22057,28.0
22059,25.9
22061,25.2
22063,25.1
22065,
22067,34.0
22069,28.0
22071,25.6
22073,25.8
22075,33.7
22077,28.1
22079,24.5
22081,
22083,30.7
22085,25.2
22087,29.6
22089,32.6
22091,21.0
22093,25.4
22095,24.6
22097,24.6
22099,32.6
22101,30.7
22103,22.7
22105,28.5
22107,
22109,27.8
22111,32.8
22113,25.5
22115,23.0
22117,29.8
22119,27.5
22121,28.7
22123,33.0
22125,
22127,30.4
23001,24.6
23003,25.4
23005,16.6
23007,22.0
23009,17.7
23011,24.7
23013,21.0
23015,16.8
23017,23.0
23019,22.6
23021,24.2
23023,19.9
23025,23.2
23027,25.9
23029,25.0
23031,20.7
24001,25.2
24003,23.3
24005,20.8
24009,22.4
24011,27.3
24013,19.3
24015,25.8
24017,26.5
24019,26.4
24021,21.4
24023,25.6
24025,22.3
24027,16.4
24029,23.1
24031,15.3
24033,25.5
24035,21.9
24037,25.6
24039,32.4
24041,20.0
24043,22.4
24045,25.0
24047,24.6
24510,28.0
25001,15.0
25003,19.8
25005,23.2
25007,9.9
25009,18.7
25011,22.8
25013,21.7
25015,14.1
25017,15.5
25019,12.4
25021,15.4
25023,20.1
25025,17.8
25027,21.9
26001,
26003,
26005,22.5
26007,31.9
26009,19.9
26011,
26013,
26015,23.4
26017,27.1
26019,
26021,24.6
